id_tipo_carencia_material,id_regimen_tenencia_carencia_material,Anyo,Valor
4,4,2020,30.8
4,4,2019,27.8
4,4,2018,32.7
4,4,2017,32.0
4,4,2016,35.6
4,4,2015,37.6
4,4,2014,42.4
4,4,2013,41.6
4,4,2012,41.9
4,4,2011,36.5
4,4,2010,35.3
5,4,2024,13.5
5,4,2023,12.5
5,4,2022,11.8
5,4,2021,13.1
5,4,2020,11.5
5,4,2019,8.6
5,4,2018,10.0
5,4,2017,9.3
5,4,2016,11.2
5,4,2015,14.0
5,4,2014,16.3
5,4,2013,16.3
5,4,2012,14.0
5,4,2011,10.6
5,4,2010,14.0
6,4,2024,15.2
6,4,2023,14.1
6,4,2022,13.5
6,4,2021,14.7
6,4,2020,12.4
6,4,2019,9.0
6,4,2018,10.6
6,4,2017,9.9
6,4,2016,11.7
6,4,2015,14.6
6,4,2014,17.0
6,4,2013,16.8
6,4,2012,14.6
6,4,2011,11.2
6,4,2010,15.0
7,4,2024,2.4
7,4,2023,2.2
7,4,2022,1.8
7,4,2021,2.2
7,4,2020,1.7
7,4,2019,1.6
7,4,2018,2.1
7,4,2017,1.6
7,4,2016,2.6
7,4,2015,3.5
7,4,2014,3.6
7,4,2013,3.5
7,4,2012,3.2
7,4,2011,3.3
7,4,2010,3.5
8,4,2024,5.5
8,4,2023,4.6
8,4,2022,3.7
8,4,2021,4.0
8,4,2020,4.0
8,4,2019,3.2
8,4,2018,3.2
8,4,2017,2.3
8,4,2016,4.4
8,4,2015,4.6
8,4,2014,5.7
8,4,2013,4.7
8,4,2012,5.4
8,4,2011,4.3
8,4,2010,5.9
9,4,2024,29.3
9,4,2023,31.3
9,4,2022,25.6
9,4,2021,25.5
9,4,2020,26.6
9,4,2019,26.0
9,4,2018,29.2
9,4,2017,30.0
9,4,2016,38.3
9,4,2015,38.3
9,4,2014,44.4
9,4,2013,45.8
1,5,2024,48.1
1,5,2023,46.9
1,5,2022,49.3
1,5,2021,47.3
1,5,2020,51.8
1,5,2019,46.5
1,5,2018,46.2
1,5,2017,43.6
1,5,2016,50.1
1,5,2015,52.3
1,5,2014,61.9
1,5,2013,62.5
1,5,2012,64.7
1,5,2011,59.2
1,5,2010,59.1
1,5,2009,59.1
1,5,2008,52.3
2,5,2024,11.8
2,5,2023,11.1
2,5,2022,10.4
2,5,2021,10.0
2,5,2020,9.9
2,5,2019,7.9
2,5,2018,6.1
2,5,2017,6.6
2,5,2016,4.8
2,5,2015,4.9
2,5,2014,6.1
2,5,2013,5.4
2,5,2012,5.6
2,5,2011,6.4
