id_decil_renta,id_regimen_tenencia_decil_renta,Anyo,Valor
2,4,2020,6.9
2,4,2019,7.8
2,4,2018,7.6
2,4,2017,6.6
2,4,2016,8.5
2,4,2015,8.0
2,4,2014,9.3
2,4,2013,7.5
2,4,2012,7.3
2,4,2011,7.0
2,4,2010,7.6
3,4,2024,9.0
3,4,2023,8.7
3,4,2022,8.1
3,4,2021,8.1
3,4,2020,8.2
3,4,2019,7.2
3,4,2018,7.1
3,4,2017,8.6
3,4,2016,8.0
3,4,2015,8.8
3,4,2014,8.8
3,4,2013,8.2
3,4,2012,9.0
3,4,2011,7.7
3,4,2010,7.7
4,4,2024,9.4
4,4,2023,9.6
4,4,2022,9.8
4,4,2021,9.0
4,4,2020,9.0
4,4,2019,8.6
4,4,2018,9.2
4,4,2017,8.7
4,4,2016,9.3
4,4,2015,9.0
4,4,2014,8.2
4,4,2013,8.7
4,4,2012,8.6
4,4,2011,9.0
4,4,2010,8.7
5,4,2024,9.5
5,4,2023,9.8
5,4,2022,9.7
5,4,2021,9.4
5,4,2020,9.3
5,4,2019,9.8
5,4,2018,10.2
5,4,2017,9.6
5,4,2016,9.8
5,4,2015,9.3
5,4,2014,9.8
5,4,2013,9.4
5,4,2012,8.6
5,4,2011,9.1
5,4,2010,9.2
6,4,2024,10.8
6,4,2023,10.5
6,4,2022,10.9
6,4,2021,11.1
6,4,2020,10.9
6,4,2019,11.1
6,4,2018,10.9
6,4,2017,10.7
6,4,2016,11.0
6,4,2015,10.3
6,4,2014,9.7
6,4,2013,11.0
6,4,2012,10.1
6,4,2011,11.0
6,4,2010,10.9
7,4,2024,11.5
7,4,2023,11.6
7,4,2022,11.1
7,4,2021,11.8
7,4,2020,12.8
7,4,2019,11.6
7,4,2018,11.4
7,4,2017,12.2
7,4,2016,11.1
7,4,2015,11.2
7,4,2014,10.3
7,4,2013,11.8
7,4,2012,12.1
7,4,2011,11.3
7,4,2010,10.4
8,4,2024,12.3
8,4,2023,12.9
8,4,2022,12.9
8,4,2021,13.0
8,4,2020,13.0
8,4,2019,12.5
8,4,2018,13.5
8,4,2017,11.9
8,4,2016,12.0
8,4,2015,12.2
8,4,2014,12.4
8,4,2013,12.8
8,4,2012,12.6
8,4,2011,11.9
8,4,2010,12.6
9,4,2024,12.2
9,4,2023,11.8
9,4,2022,12.6
9,4,2021,12.3
9,4,2020,13.0
9,4,2019,13.6
9,4,2018,13.3
9,4,2017,13.3
9,4,2016,12.7
9,4,2015,12.7
9,4,2014,12.6
9,4,2013,12.2
9,4,2012,13.0
9,4,2011,12.5
9,4,2010,12.5
10,4,2024,11.5
10,4,2023,12.1
10,4,2022,12.8
10,4,2021,12.4
10,4,2020,11.6
10,4,2019,12.4
10,4,2018,11.5
10,4,2017,12.3
10,4,2016,11.4
10,4,2015,11.3
10,4,2014,12.0
10,4,2013,11.4
10,4,2012,11.8
10,4,2011,13.0
10,4,2010,13.2
1,5,2024,17.6
1,5,2023,18.7
1,5,2022,22.2
1,5,2021,22.4
1,5,2020,22.2
1,5,2019,22.1
1,5,2018,20.8
1,5,2017,20.4
1,5,2016,21.6
1,5,2015,23.0
1,5,2014,23.1
1,5,2013,21.9
1,5,2012,25.1
1,5,2011,23.9
1,5,2010,25.5
1,5,2009,24.6
1,5,2008,26.8
2,5,2024,14.7
2,5,2023,14.1
2,5,2022,15.3
2,5,2021,15.6
2,5,2020,15.0
2,5,2019,15.2
2,5,2018,16.4
2,5,2017,16.3
2,5,2016,14.4
2,5,2015,13.9
2,5,2014,17.4
2,5,2013,16.8
2,5,2012,16.6
2,5,2011,16.2
2,5,2010,15.2
2,5,2009,14.3
2,5,2008,15.9
3,5,2024,11.9
3,5,2023,11.7
3,5,2022,10.6
3,5,2021,13.5
3,5,2020,12.2
3,5,2019,11.2
3,5,2018,11.9
3,5,2017,12.6
3,5,2016,13.4
3,5,2015,10.6
3,5,2014,9.7
3,5,2013,12.8
3,5,2012,11.2
3,5,2011,13.8
3,5,2010,10.5
3,5,2009,12.0
3,5,2008,11.4
4,5,2024,12.2
4,5,2023,11.3
4,5,2022,10.3
4,5,2021,10.1
4,5,2020,11.1
4,5,2019,11.3
4,5,2018,11.0
